v1,v2,v3_cleaned,key_column
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",7 wonders in my world 7th you 6th ur style 5th ur smile 4th ur personality 3rd ur nature 2nd ur sms and 1st ur lovely friendship good morning dear,7 wonders world 7th 6th ur style 5th ur smile 4th ur personality 3rd ur nature 2nd ur sms 1st ur lovely friendship good morning dear
ham,Take some small dose tablet for fever,take some small dose tablet for fever,take small dose tablet fever
ham,Oh. U must have taken your REAL Valentine out shopping first.,oh u must have taken your real valentine out shopping first,oh u must taken real valentine shopping first
ham,"Just sent you an email ‰ÛÒ to an address with incomm in it, is that right?",just sent you an email to an address with incomm in it is that right,sent email address incomm right
ham,"Will do, you gonna be at blake's all night? I might be able to get out of here a little early",will do you gonna be at blake s all night i might be able to get out of here a little early,gonna blake night might able get little early
ham,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e",friendship is not a game to play it is not a word to say it doesn t start on march and ends on may it is tomorrow yesterday today and e,friendship game play word say start march ends may tomorrow yesterday today e
ham,"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!",nice wait should you be texting right now i m not gonna pay your ticket ya know,nice wait texting right gonna pay ticket ya know
ham,I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?,i m watching lotr w my sis dis aft so u wan 2 meet me 4 dinner at nite a not,watching lotr w sis dis aft u wan 2 meet 4 dinner nite
ham,Why you keeping me away like this,why you keeping me away like this,keeping away like
ham,I think its far more than that but find out. Check google maps for a place from your dorm.,i think its far more than that but find out check google maps for a place from your dorm,think far find check google maps place dorm
ham,My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.,my trip was ok but quite tiring lor uni starts today but it s ok 4 me cos i m not taking any modules but jus concentrating on my final yr project,trip ok quite tiring lor uni starts today ok 4 cos taking modules jus concentrating final yr project
ham,Have you always been saying welp?,have you always been saying welp,always saying welp
ham,"I'm a guy, browsin is compulsory",i m a guy browsin is compulsory,guy browsin compulsory
ham,Ok...,ok,ok
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu,purity of friendship between two is not about smiling after reading the forwarded message its about smiling just by seeing the name gud evng musthu,purity friendship two smiling reading forwarded message smiling seeing name gud evng musthu
ham,"Sorry, I'll call later",sorry i ll call later,sorry call later
ham,"(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)",i should add that i don t really care and if you can t i can at least get this dude to fuck off but hey your money if you want it,add really care least get dude fuck hey money want
ham,"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea",hello lover how goes that new job are you there now are you happy do you think of me i wake my slave and send you a teasing kiss from across the sea,hello lover goes new job happy think wake slave send teasing kiss across sea
ham,I told your number to gautham..,i told your number to gautham,told number gautham
ham,Tell them no need to investigate about me anywhere.,tell them no need to investigate about me anywhere,tell need investigate anywhere
ham,Ok i juz receive..,ok i juz receive,ok juz receive
ham,"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later.",cant believe i said so many things to you this morning when all i really wanted to say was good morning i love you have a beautiful morning see you in the library later,cant believe said many things morning really wanted say good morning love beautiful morning see library later
spam,"Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz",your account has been credited with 500 free text messages to activate just txt the word credit to no 80488 t cs,account credited 500 free text messages activate txt word credit 80488 cs
ham,In the end she might still vomit but its okay. Not everything will come out.,in the end she might still vomit but its okay not everything will come out,end might still vomit okay everything come
ham,How are you with moneY...as in to you...money aint a thing....how are you sha!,how are you with money as in to you money aint a thing how are you sha,money money aint thing sha
ham,It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c,it has everything to do with the weather keep extra warm its a cold but nothing serious pls lots of vitamin c,everything weather keep extra warm cold nothing serious pls lots vitamin c
ham,Hey gals.. Anyone of u going down to e driving centre tmr?,hey gals anyone of u going down to e driving centre tmr,hey gals anyone u going e driving centre tmr
ham,I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.,i m always on yahoo messenger now just send the message to me and i ll get it you may have to send it in the mobile mode sha but i ll get it and will reply,always yahoo messenger send message get may send mobile mode sha get reply
ham,I'm putting it on now. It should be ready for  &lt;TIME&gt; ,i m putting it on now it should be ready for lt time gt,putting ready lt time gt
ham,"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon",time n smile r the two crucial things in our life sometimes time makes us to forget smile and sometimes someone s smile makes us to forget time gud noon,time n smile r two crucial things life sometimes time makes us forget smile sometimes someone smile makes us forget time gud noon
spam,"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO",sms ac jsco energy is high but u may not know where 2channel it 2day ur leadership skills r strong psychic reply ans w question end reply end jsco,sms ac jsco energy high u may know 2channel 2day ur leadership skills r strong psychic reply ans w question end reply end jsco
ham,Host-based IDPS for linux systems.,host based idps for linux systems,host based idps linux systems
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",hot live fantasies call now just 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 is a national rate call,hot live fantasies call 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate call
ham,Don no da:)whats you plan?,don no da whats you plan,da whats plan
ham,Ill be there on  &lt;#&gt;  ok.,ill be there on lt gt ok,ill lt gt ok
ham,Oh my God. I'm almost home,oh my god i m almost home,oh god almost home
ham,Total video converter free download type this in google search:),total video converter free download type this in google search,total video converter free download type google search
spam,Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.,thanks for the vote now sing along with the stars with karaoke on your mobile for a free link just reply with sing now,thanks vote sing along stars karaoke mobile free link reply sing
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",wen ur lovable bcums angry wid u dnt take it seriously coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda have nice day da,wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da
ham,Sounds like something that someone testing me would sayy,sounds like something that someone testing me would sayy,sounds like something someone testing would sayy
ham,When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.,when u love someone dont make them to love u as much as u do but love them so much that they dont want to be loved by anyone except you gud nit,u love someone dont make love u much u love much dont want loved anyone except gud nit
ham,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)",pete is this your phone still its jenny from college and leanne what are you up to now,pete phone still jenny college leanne
ham,Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?,oops sorry just to check that you don t mind picking me up tomo at half eight from station would that be ok,oops sorry check mind picking tomo half eight station would ok
ham,"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*",hey sweet i was wondering when you had a moment if you might come to me i want to send a file to someone but it won t go over yahoo for them because their connection sucks remember when you set up that page for me to go to and download the format disc could you tell me how to do that or do you know some other way to download big files because they can download stuff directly from the internet any help would be great my prey teasing kiss,hey sweet wondering moment might come want send file someone go yahoo connection sucks remember set page go download format disc could tell know way download big files download stuff directly internet help would great prey teasing kiss
ham,Hows the champ just leaving glasgow!,hows the champ just leaving glasgow,hows champ leaving glasgow
ham,K:)all the best:)congrats...,k all the best congrats,k best congrats
ham,I wonder if you'll get this text?,i wonder if you ll get this text,wonder get text
ham,I need to come home and give you some good lovin...,i need to come home and give you some good lovin,need come home give good lovin
spam,Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.,our brand new mobile music service is now live the free music player will arrive shortly just install on your phone to browse content from the top artists,brand new mobile music service live free music player arrive shortly install phone browse content top artists
ham,Shall i ask one thing if you dont mistake me.,shall i ask one thing if you dont mistake me,shall ask one thing dont mistake
ham,Check wid corect speling i.e. Sarcasm,check wid corect speling i e sarcasm,check wid corect speling e sarcasm
spam,"URGENT! Your Mobile No was awarded a å£2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate",urgent your mobile no was awarded a 2 000 bonus caller prize on 1 08 03 this is our 2nd attempt to contact you call 523 box95qu bt national rate,urgent mobile awarded 2 000 bonus caller prize 1 08 03 2nd attempt contact call 523 box95qu bt national rate
ham,Are you angry with me. What happen dear,are you angry with me what happen dear,angry happen dear
ham,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.,i thk u dun haf 2 hint in e forum already lor cos i told ron n darren is going 2 tell shuhui,thk u dun haf 2 hint e forum already lor cos told ron n darren going 2 tell shuhui
ham,Yup ok thanx...,yup ok thanx,yup ok thanx
ham,Hi:)cts employee how are you?,hi cts employee how are you,hi cts employee
ham,Pls pls find out from aunt nike.,pls pls find out from aunt nike,pls pls find aunt nike
ham,"Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you",wow i love you sooo much you know i can barely stand it i wonder how your day goes and if you are well my love i think of you and miss you,wow love sooo much know barely stand wonder day goes well love think miss
ham,No screaming means shouting..,no screaming means shouting,screaming means shouting
ham,Hey what happen de. Are you alright.,hey what happen de are you alright,hey happen de alright
ham,Should I have picked up a receipt or something earlier,should i have picked up a receipt or something earlier,picked receipt something earlier
ham,I think chennai well settled?,i think chennai well settled,think chennai well settled
ham,Oh dang! I didn't mean o send that to you! Lol!,oh dang i didn t mean o send that to you lol,oh dang mean send lol
ham,Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th,unfortunately i ve just found out that we have to pick my sister up from the airport that evening so don t think i ll be going out at all we should try to go out one of th,unfortunately found pick sister airport evening think going try go one th
ham,Horrible bf... I now v hungry...,horrible bf i now v hungry,horrible bf v hungry
ham,Remember on that day..,remember on that day,remember day
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,you have won a nokia 7250i this is what you get when you win our free auction to take part send nokia to 86021 now hg suite342 2lands row w1jhl 16,nokia 7250i get win free auction take part send nokia 86021 hg suite342 2lands row w1jhl 16
ham,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!,how s it feel mr your not my real valentine just my yo valentine even tho u hardly play,feel mr real valentine yo valentine even tho u hardly play
ham,All sounds good. Fingers . Makes it difficult to type,all sounds good fingers makes it difficult to type,sounds good fingers makes difficult type
ham,Midnight at the earliest,midnight at the earliest,midnight earliest
ham,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?,you re not sure that i m not trying to make xavier smoke because i don t want to smoke after being told i smoke too much,sure trying make xavier smoke want smoke told smoke much
ham,K come to nordstrom when you're done,k come to nordstrom when you re done,k come nordstrom done
ham,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,do u konw waht is rael friendship im gving yuo an exmpel jsut ese tihs msg evrey splleing of tihs msg is wrnog bt sitll yuo can raed it wihtuot ayn mitsake goodnight amp have a nice sleep sweet dreams,u konw waht rael friendship im gving yuo exmpel jsut ese tihs msg evrey splleing tihs msg wrnog bt sitll yuo raed wihtuot ayn mitsake goodnight amp nice sleep sweet dreams
ham,Now press conference da:),now press conference da,press conference da
spam,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow",hello from orange for 1 month s free access to games news and sport plus 10 free texts and 20 photo messages reply yes terms apply,hello orange 1 month free access games news sport plus 10 free texts 20 photo messages reply yes terms apply
ham,After completed degree. There is no use in joining finance.,after completed degree there is no use in joining finance,completed degree use joining finance
ham,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?",good afternoon my love any job prospects are you missing me what do you do are you being lazy and bleak hmmm or happy and filled with my love,good afternoon love job prospects missing lazy bleak hmmm happy filled love
ham,Shant disturb u anymore... Jia you...,shant disturb u anymore jia you,shant disturb u anymore jia
ham,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...,bishan lar nearer no need buy so early cos if buy now i gotta park my car,bishan lar nearer need buy early cos buy gotta park car
ham,"Me, i dont know again oh",me i dont know again oh,dont know oh
ham,Dude sux for snake. He got old and raiden got buff,dude sux for snake he got old and raiden got buff,dude sux snake got old raiden got buff
ham,He says hi and to get your ass back to south tampa (preferably at a kegger),he says hi and to get your ass back to south tampa preferably at a kegger,says hi get ass back south tampa preferably kegger
ham,In e msg jus now. U said thanks for gift.,in e msg jus now u said thanks for gift,e msg jus u said thanks gift
ham,U too...,u too,u
ham,Ok how you dear. Did you call chechi,ok how you dear did you call chechi,ok dear call chechi
ham,Yeah we do totes. When u wanna?,yeah we do totes when u wanna,yeah totes u wanna
ham,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.,ok i found dis pierre cardin one which looks normal costs 20 its on sale,ok found dis pierre cardin one looks normal costs 20 sale
ham,Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-),good sleep is about rhythm the person has to establish a rhythm that the body will learn and use if you want to know more,good sleep rhythm person establish rhythm body learn use want know
ham,Wat r u doing?,wat r u doing,wat r u
ham,Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side,message from i am at truro hospital on ext you can phone me here as i have a phone by my side,message truro hospital ext phone phone side
ham,"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but",single line with a big meaning miss anything 4 ur best life but,single line big meaning miss anything 4 ur best life
ham,"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?",just got some gas money any chance you and the gang want to go on a grand nature adventure,got gas money chance gang want go grand nature adventure
ham,Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.,dnt worry use ice pieces in a cloth pack also take 2 tablets,dnt worry use ice pieces cloth pack also take 2 tablets
ham,Dude just saw a parked car with its sunroof popped up. Sux,dude just saw a parked car with its sunroof popped up sux,dude saw parked car sunroof popped sux
ham,Get ready to put on your excellent sub face :),get ready to put on your excellent sub face,get ready put excellent sub face
ham,Tmrw. Im finishing 9 doors,tmrw im finishing 9 doors,tmrw im finishing 9 doors
ham,"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him.",the lt gt g that i saw a few days ago the guy wants sell wifi only for lt gt and with 3g for lt gt that s why i blanked him,lt gt g saw days ago guy wants sell wifi lt gt 3g lt gt blanked
ham,I am late. I will be there at,i am late i will be there at,late
ham,"whatever, im pretty pissed off.",whatever im pretty pissed off,whatever im pretty pissed
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,today is accept day u accept me as brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply means enemy,today accept day u accept brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply means enemy
ham,I dont have that much image in class.,i dont have that much image in class,dont much image class
ham,No:-)i got rumour that you going to buy apartment in chennai:-),no i got rumour that you going to buy apartment in chennai,got rumour going buy apartment chennai
ham,Near kalainar tv office.thenampet,near kalainar tv office thenampet,near kalainar tv office thenampet
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL,ur cash balance is currently 500 pounds to maximize ur cash in now send go to 86688 only 150p msg cc hg suite342 2lands row w1j6hl,ur cash balance currently 500 pounds maximize ur cash send go 86688 150p msg cc hg suite342 2lands row w1j6hl
spam,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL,sms auction a brand new nokia 7250 is up 4 auction today auction is free 2 join take part txt nokia to 86021 now hg suite342 2lands row w1j6hl,sms auction brand new nokia 7250 4 auction today auction free 2 join take part txt nokia 86021 hg suite342 2lands row w1j6hl
ham,My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.,my sis is catching e show in e afternoon so i m not watching w her so c u wan 2 watch today or tmr lor,sis catching e show e afternoon watching w c u wan 2 watch today tmr lor
ham,"Sounds gd... Haha... Can... Wah, u yan jiu so fast liao...",sounds gd haha can wah u yan jiu so fast liao,sounds gd haha wah u yan jiu fast liao
ham,No. To be nosy I guess. Idk am I over reacting if I'm freaked?,no to be nosy i guess idk am i over reacting if i m freaked,nosy guess idk reacting freaked
ham,"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same.",remember all those whom i hurt during days of satanic imposter in me need to pay a price so be it may destiny keep me going and as u said pray that i get the mind to get over the same,remember hurt days satanic imposter need pay price may destiny keep going u said pray get mind get
ham,How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..,how to make a girl happy it s not at all difficult to make girls happy u only need to be 1 a friend 2 companion 3 lover 4 chef lt gt good listener lt gt organizer lt gt good boyfriend lt gt very clean lt gt sympathetic lt gt athletic lt gt warm lt gt courageous lt gt determined lt gt true lt gt dependable lt gt intelligent lt gt psychologist lt gt pest exterminator lt gt psychiatrist lt gt healer lt gt stylist lt gt driver aaniye pudunga venaam,make girl happy difficult make girls happy u need 1 friend 2 companion 3 lover 4 chef lt gt good listener lt gt organizer lt gt good boyfriend lt gt clean lt gt sympathetic lt gt athletic lt gt warm lt gt courageous lt gt determined lt gt true lt gt dependable lt gt intelligent lt gt psychologist lt gt pest exterminator lt gt psychiatrist lt gt healer lt gt stylist lt gt driver aaniye pudunga venaam
ham,"Why is that, princess? I bet the brothas are all chasing you!",why is that princess i bet the brothas are all chasing you,princess bet brothas chasing
ham,"I shall book chez jules for half eight, if that's ok with you?",i shall book chez jules for half eight if that s ok with you,shall book chez jules half eight ok
ham,Hhahhaahahah rofl wtf nig was leonardo in your room or something,hhahhaahahah rofl wtf nig was leonardo in your room or something,hhahhaahahah rofl wtf nig leonardo room something
ham,"Yep, at derek's house now, see you Sunday &lt;3",yep at derek s house now see you sunday lt 3,yep derek house see sunday lt 3
ham,"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day",it s cool let me know before it kicks off around lt gt i ll be out and about all day,cool let know kicks around lt gt day
ham,"Sorry, I'll call later",sorry i ll call later,sorry call later
ham,I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.,i was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here that lt gt dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives every dime so for me to expect anything from you is not practical something like that,wondering would okay call uncle john let know things nigeria r lt gt dollars 2years sent know strain plan pay back every dime gives every dime expect anything practical something like
ham,There are no other charges after transfer charges and you can withdraw anyhow you like,there are no other charges after transfer charges and you can withdraw anyhow you like,charges transfer charges withdraw anyhow like
ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL",dont search love let love find u thats why its called falling in love bcoz u dont force yourself u just fall and u know there is smeone to hold u bslvyl,dont search love let love find u thats called falling love bcoz u dont force u fall u know smeone hold u bslvyl
ham,At 4. Let's go to bill millers,at 4 let s go to bill millers,4 let go bill millers
ham,I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo,i love you you set my soul on fire it is not just a spark but it is a flame a big rawring flame xoxo,love set soul fire spark flame big rawring flame xoxo
ham,"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)",somewhr someone is surely made 4 u and god has decided a perfect time to make u meet dat person till den enjoy ur crushes,somewhr someone surely made 4 u god decided perfect time make u meet dat person till den enjoy ur crushes
ham,That's my honeymoon outfit. :),that s my honeymoon outfit,honeymoon outfit
ham,Will it help if we propose going back again tomorrow,will it help if we propose going back again tomorrow,help propose going back tomorrow
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,private your 2003 account statement for shows 800 un redeemed s i m points call identifier code 41685 expires 07 11 04,private 2003 account statement shows 800 un redeemed points call identifier code 41685 expires 07 11 04
ham,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:,never blame a day in ur life good days give u happiness bad days give u experience both are essential in life all are gods blessings good morning,never blame day ur life good days give u happiness bad days give u experience essential life gods blessings good morning
ham,Pls confirm the time to collect the cheque.,pls confirm the time to collect the cheque,pls confirm time collect cheque
spam,As a Registered Subscriber yr draw 4 a å£100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062,as a registered subscriber yr draw 4 a 100 gift voucher will b entered on receipt of a correct ans when are the next olympics txt ans to 80062,registered subscriber yr draw 4 100 gift voucher b entered receipt correct ans next olympics txt ans 80062
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,urgent your mobile number has been awarded with a 2000 prize guaranteed call from land line claim 3030 valid 12hrs only 150ppm,urgent mobile number awarded 2000 prize guaranteed call land line claim 3030 valid 12hrs 150ppm
ham,Daddy will take good care of you :),daddy will take good care of you,daddy take good care
ham,"Yeah probably, I still gotta check out with leo",yeah probably i still gotta check out with leo,yeah probably still gotta check leo
ham,K.then any other special?,k then any other special,k special
ham,Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass,carlos is taking his sweet time as usual so let me know when you and patty are done want to smoke and i ll tell him to haul ass,carlos taking sweet time usual let know patty done want smoke tell haul ass
ham,Ok pa. Nothing problem:-),ok pa nothing problem,ok pa nothing problem
ham,Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?! ,have you heard about that job i m going to that wildlife talk again tonight if u want2come its that2worzels and a wizzle or whatever it is,heard job going wildlife talk tonight u want2come that2worzels wizzle whatever
ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U",god picked up a flower and dippeditinadew lovingly touched itwhichturnedinto u and the he gifted tomeandsaid this friend is 4u,god picked flower dippeditinadew lovingly touched itwhichturnedinto u gifted tomeandsaid friend 4u
ham,When you came to hostel.,when you came to hostel,came hostel
ham,Ok no prob... I'll come after lunch then...,ok no prob i ll come after lunch then,ok prob come lunch
ham,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...,jus telling u dat i ll b leaving 4 shanghai on 21st instead so we ll haf more time 2 meet up cya,jus telling u dat b leaving 4 shanghai 21st instead haf time 2 meet cya
ham,Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?,are your freezing are you home yet will you remember to kiss your mom in the morning do you love me do you think of me are you missing me yet,freezing home yet remember kiss mom morning love think missing yet
ham,You all ready for * big day tomorrow?,you all ready for big day tomorrow,ready big day tomorrow
ham,I'll probably be around mu a lot,i ll probably be around mu a lot,probably around mu lot
ham,645,645,645
spam,RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!,rt king pro video club need help or call you must be 16 club credits redeemable at enjoy,rt king pro video club need help call must 16 club credits redeemable enjoy
ham,Thnx dude. u guys out 2nite?,thnx dude u guys out 2nite,thnx dude u guys 2nite
ham,Me sef dey laugh you. Meanwhile how's my darling anjie!,me sef dey laugh you meanwhile how s my darling anjie,sef dey laugh meanwhile darling anjie
ham,Mm i had my food da from out,mm i had my food da from out,mm food da
ham,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas",k makes sense btw carlos is being difficult so you guys are gonna smoke while i go pick up the second batch and get gas,k makes sense btw carlos difficult guys gonna smoke go pick second batch get gas
ham,Did u download the fring app?,did u download the fring app,u download fring app
ham,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible,the 2 oz guy is being kinda flaky but one friend is interested in picking up lt gt worth tonight if possible,2 oz guy kinda flaky one friend interested picking lt gt worth tonight possible
ham,Friends that u can stay on fb chat with,friends that u can stay on fb chat with,friends u stay fb chat
ham,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...",fuck babe i miss you sooooo much i wish you were here to sleep with me my bed is so lonely i go now to sleep to dream of you my love,fuck babe miss sooooo much wish sleep bed lonely go sleep dream love
ham,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-",living is very simple loving is also simple laughing is too simple winning is tooo simple but being simple is very difficult gud nte,living simple loving also simple laughing simple winning tooo simple simple difficult gud nte
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,u have a secret admirer who is looking 2 make contact with u find out who they r reveal who thinks ur so special call on,u secret admirer looking 2 make contact u find r reveal thinks ur special call
ham,"Ah, well that confuses things, doesn‰Û÷t it?",ah well that confuses things doesn t it,ah well confuses things
spam,500 free text msgs. Just text ok to 80488 and we'll credit your account,500 free text msgs just text ok to 80488 and we ll credit your account,500 free text msgs text ok 80488 credit account
ham,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,hi dear call me its urgnt i don t know whats your problem you don t want to work or if you have any other problem at least tell me wating for your reply,hi dear call urgnt know whats problem want work problem least tell wating reply
ham,Dear how you. Are you ok?,dear how you are you ok,dear ok
spam,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth å£350! To Claim, Call London 02072069400. Bx 526, SW73SS",you have been selected to stay in 1 of 250 top british hotels for nothing holiday worth 350 to claim call london bx 526 sw73ss,selected stay 1 250 top british hotels nothing holiday worth 350 claim call london bx 526 sw73ss
